entity,period,unit,decimals,value
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00,iso4217:EUR,-5,-500000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00,iso4217:EUR,-5,6248700000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,1255700000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,9900000
549300VZKC61IR5U8G96,2022-01-01T00:00:00,iso4217:EUR,-5,-67100000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00,iso4217:EUR,-5,439700000
549300VZKC61IR5U8G96,2020-01-01T00:00:00,iso4217:EUR,-3,1219559000
549300VZKC61IR5U8G96,2020-01-01T00:00:00,iso4217:EUR,-5,1206600000
549300VZKC61IR5U8G96,2022-01-01T00:00:00,iso4217:EUR,-5,400000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00,iso4217:EUR,-5,318100000
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00,iso4217:EUR,-5,-173300000
HD52L5PJVBXJUUX8I539,2021-01-01T00:00:00,iso4217:EUR,-5,6707200000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,-106000000
HD52L5PJVBXJUUX8I539,2021-01-01T00:00:00,iso4217:EUR,-5,-12400000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,1566000000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,1566000000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00,iso4217:EUR,-5,6259300000
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00,iso4217:EUR,-5,3430800000
HD52L5PJVBXJUUX8I539,2021-01-01T00:00:00,iso4217:EUR,-5,2637400000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00,iso4217:EUR,-5,-112600000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-3,9979000
549300VZKC61IR5U8G96,2020-01-01T00:00:00,iso4217:EUR,-5,104000000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-3,36476000
549300VZKC61IR5U8G96,2020-01-01T00:00:00,iso4217:EUR,-3,70221000
HD52L5PJVBXJUUX8I539,2021-01-01T00:00:00,iso4217:EUR,-5,-1900000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00,iso4217:EUR,-5,175800000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-3,1257594000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,1255700000
549300VZKC61IR5U8G96,2020-01-01T00:00:00,iso4217:EUR,-3,36476000
5299004ZME6CSBR7WP07,2019-01-01T00:00:00,iso4217:EUR,-3,747198000
549300VZKC61IR5U8G96,2022-01-01T00:00:00,iso4217:EUR,-5,-7300000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,-185100000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00,iso4217:EUR,-5,-800000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-3,106004000
549300VZKC61IR5U8G96,2022-01-01T00:00:00,iso4217:EUR,-5,1574600000
5299004ZME6CSBR7WP07,2020-01-01T00:00:00,iso4217:EUR,-3,1592154000
5299004ZME6CSBR7WP07,2020-01-01T00:00:00,iso4217:EUR,-3,1592154000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,104000000
5299004ZME6CSBR7WP07,2020-01-01T00:00:00,iso4217:EUR,-3,120175000
549300VZKC61IR5U8G96,2020-01-02T00:00:00,iso4217:EUR,-3,1413451000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,9900000
549300VZKC61IR5U8G96,2020-01-01T00:00:00,iso4217:EUR,-5,-102900000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,1257600000
549300VZKC61IR5U8G96,2022-01-01T00:00:00,iso4217:EUR,-5,1792500000
549300VZKC61IR5U8G96,2022-01-01T00:00:00,iso4217:EUR,-5,-103500000
549300VZKC61IR5U8G96,2020-01-02T00:00:00,iso4217:EUR,-3,1219559000
HD52L5PJVBXJUUX8I539,2021-01-01T00:00:00,iso4217:EUR,-5,4159900000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-3,185130000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,104000000
5299004ZME6CSBR7WP07,2020-01-01T00:00:00,iso4217:EUR,-3,208597000
549300VZKC61IR5U8G96,2022-01-01T00:00:00,iso4217:EUR,-5,104000000
549300VZKC61IR5U8G96,2020-01-01T00:00:00,iso4217:EUR,-5,13000000
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00,iso4217:EUR,-5,560500000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00,iso4217:EUR,-5,6241900000
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00,iso4217:EUR,-5,-14000000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00,iso4217:EUR,-5,-500000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,-106000000
549300VZKC61IR5U8G96,2022-01-01T00:00:00,iso4217:EUR,-5,-67100000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-3,167680000
5299004ZME6CSBR7WP07,2019-01-01T00:00:00,iso4217:EUR,-3,120175000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,104000000
549300VZKC61IR5U8G96,2020-01-01T00:00:00,iso4217:EUR,-3,1206587000
5299004ZME6CSBR7WP07,2021-01-01T00:00:00,iso4217:EUR,-3,1394709000
5299004ZME6CSBR7WP07,2020-01-01T00:00:00,iso4217:EUR,-3,1459454000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,1566000000
5299004ZME6CSBR7WP07,2020-01-01T00:00:00,iso4217:EUR,-3,208597000
5299004ZME6CSBR7WP07,2019-01-01T00:00:00,iso4217:EUR,-3,-3983000
549300VZKC61IR5U8G96,2022-01-01T00:00:00,iso4217:EUR,-5,-103500000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,-106000000
549300VZKC61IR5U8G96,2022-01-01T00:00:00,iso4217:EUR,-5,36500000
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00,iso4217:EUR,-5,-173300000
5299004ZME6CSBR7WP07,2020-01-01T00:00:00,iso4217:EUR,-3,132701000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,36500000
5299004ZME6CSBR7WP07,2020-01-01T00:00:00,iso4217:EUR,-3,10140000
549300VZKC61IR5U8G96,2020-01-01T00:00:00,iso4217:EUR,-5,-169000000
549300VZKC61IR5U8G96,2022-01-01T00:00:00,iso4217:EUR,-5,1574600000
549300VZKC61IR5U8G96,2020-01-01T00:00:00,iso4217:EUR,-5,36500000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00,iso4217:EUR,-5,175800000
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00,iso4217:EUR,-5,560500000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,-167700000
HD52L5PJVBXJUUX8I539,2021-01-01T00:00:00,iso4217:EUR,-5,175800000
549300VZKC61IR5U8G96,2022-01-01T00:00:00,iso4217:EUR,-5,1567300000
549300VZKC61IR5U8G96,2020-01-02T00:00:00,iso4217:EUR,-3,5256000
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00,iso4217:EUR,-5,-14000000
549300VZKC61IR5U8G96,2019-01-02T00:00:00,iso4217:EUR,-3,15504000
