concept,frequency
ifrs-full:OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,2
hapaglloydag:CurrencyTranslationEffectsOnChangeInValueOfForwardElementsOfForwardContractsNetOfTax,2
andritz:KurzfristigeBankundsonstigeFinanzverbindlichkeiten,2
ifrs-full:CurrentTaxAssetsNoncurrent,2
sixt:PaymentsForBorrowingsAndLeaseLiabilities,2
ifrs-full:ComprehensiveIncomeAttributableToNoncontrollingInterests,8
ifrs-full:CashFlowsFromUsedInFinancingActivitiesContinuingOperations,2
ifrs-full:DividendsPaidClassifiedAsFinancingActivities,10
ifrs-full:InvestmentAccountedForUsingEquityMethod,8
sixt:AdjustmentsForDepreciationOfRentalVehicles,2
ifrs-full:PurchaseOfFinancialInstrumentsClassifiedAsInvestingActivities,4
ifrs-full:CashFlowsFromUsedInOperationsBeforeChangesInWorkingCapital,2
ifrs-full:IncreaseDecreaseThroughChangesInOwnershipInterestsInSubsidiariesThatDoNotResultInLossOfControl,24
ifrs-full:RetainedEarnings,4
ifrs-full:OtherCurrentAssets,4
sixt:BasicEarningsLossPerPreferenceShareFromDiscontinuedOperations,2
ifrs-full:NoncurrentProvisionsForEmployeeBenefits,10
ifrs-full:TradeAndOtherPayables,4
ifrs-full:DepreciationAndAmortisationExpense,2
ifrs-full:NameOfUltimateParentOfGroup,4
ifrs-full:DomicileOfEntity,5
andritz:ChangesInConsolidationScope,4
ifrs-full:AdjustmentsForGainLossOnDisposalOfInvestmentsInSubsidiariesJointVenturesAndAssociates,2
ifrs-full:BasicEarningsLossPerShareFromDiscontinuedOperations,2
hapaglloydag:PaymentsForAndProceedsFromHedgesForFinancialDebt,2
andritz:Veranlagungen,2
ifrs-full:AdjustmentsForLossesGainsOnDisposalOfNoncurrentAssets,8
andritz:ForderungenAusLieferungenUndLeistungen,2
ifrs-full:BasicEarningsLossPerShareFromContinuingOperations,2
ifrs-full:NameOfReportingEntityOrOtherMeansOfIdentification,5
ifrs-full:ProfitLossFromOperatingActivities,6
ifrs-full:ProfitLossAttributableToOwnersOfParent,10
ifrs-full:SaleOrIssueOfTreasuryShares,18
ifrs-full:AdjustmentsForIncomeTaxExpense,10
andritz:SonstigelangfristigeVerbindlichkeiten,2
ifrs-full:NameOfParentEntity,4
ifrs-full:ComprehensiveIncome,76
ifrs-full:DividendsReceivedClassifiedAsOperatingActivities,8
ifrs-full:EquityAndLiabilities,8
ifrs-full:TransportationExpense,2
ifrs-full:CurrentTaxAssetsCurrent,10
andritz:RetainedEarningsAndOtherReserves,4
ifrs-full:OtherNoncurrentLiabilities,6
andritz:Wertberichtigung,2
ifrs-full:CashFlowsFromUsedInInvestingActivities,10
andritz:ZurVeraeusserungGehalteneVermoegenswerte,2
andritz:VerbindlichkeitenImZusammenhangMitZurVeraeusserungGehaltenenVermoegenswerten,2
andritz:LangfristigeBankUndSonstigeVerbindlichkeiten,2
andritz:EinzahlungenAusDemVerkaufVonLangUndKurzfristigenFinanziellenVermoegenswerten,2
ifrs-full:OtherIncome,8
hapaglloydag:AdjustmentsForIncomeExpenseFromAtEquityCompaniesAndDividendIncome,2
ifrs-full:PurchaseOfPropertyPlantAndEquipmentIntangibleAssetsOtherThanGoodwillInvestmentPropertyAndOtherNoncurrentAssets,6
ifrs-full:DeferredTaxLiabilities,10
ifrs-full:IncreaseDecreaseThroughTransactionsWithOwners,24
ifrs-full:AdjustmentsForImpairmentLossReversalOfImpairmentLossRecognisedInProfitOrLoss,2
ifrs-full:AdjustmentsForDepreciationAndAmortisationExpenseAndImpairmentLossReversalOfImpairmentLossRecognisedInProfitOrLoss,8
ifrs-full:OtherExpenseByNature,8
ifrs-full:Equity,238
ifrs-full:GainsLossesOnChangeInValueOfForwardElementsOfForwardContractsNetOfTax,2
ifrs-full:ProfitLoss,96
hapaglloydag:HedgingGainsLossesTransferredToInitialCostOfNonFinancialAssetsLiabilities,24
andritz:AuszahlungenFuerBankUndSonstigeFinanzverbindlichkeitenSowieLeasingverbindlichkeiten,2
andritz:VeraenderungenImKonsolidierungskreis,2
ifrs-full:OtherComprehensiveIncomeNetOfTaxGainsLossesFromInvestmentsInEquityInstruments,4
ifrs-full:OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,6
ifrs-full:DepreciationAmortisationAndImpairmentLossReversalOfImpairmentLossRecognisedInProfitOrLoss,2
ifrs-full:OtherCurrentLiabilities,6
sixt:BasicEarningsLossPerPreferencesShareFromContinuingOperations,2
ifrs-full:PurchaseOfTreasuryShares,18
ifrs-full:PaymentsToAcquireOrRedeemEntitysShares,8
andritz:ErgebnisVorZinsenErtragsteuernUndAbschreibungenEBITDA,2
ifrs-full:OtherCashPaymentsToAcquireInterestsInJointVenturesClassifiedAsInvestingActivities,6
ifrs-full:CapitalReserve,4
ifrs-full:IncreaseDecreaseThroughAppropriationOfRetainedEarnings,9
andritz:FinancialResult,6
ifrs-full:SharePremium,6
ifrs-full:CashFlowsFromUsedInOperatingActivities,10
ifrs-full:SocialSecurityContributions,2
ifrs-full:AdjustmentsForProvisions,8
ifrs-full:OtherCurrentReceivables,2
ifrs-full:DescriptionOfNatureOfEntitysOperationsAndPrincipalActivities,5
